outline_side,dead_space_ratio,feasible,overflow,hpwl,attempts
454,0.14827215447267705,1,0.0,241267.0,1
424,0.0015320248912262802,0,0.07547169811320754,275323.0,1
439,0.0736486147709483,1,0.0,266443.0,1
431,0.034874457523913494,0,0.030162412993039442,272942.0,1
435,0.05417240015375957,0,0.006896551724137931,274447.0,1
437,0.06388822346393619,0,0.002288329519450801,264948.5,1
438,0.06876284811783773,1,0.0,266325.0,1
437,0.06388822346393619,1,0.0,265472.5,2
436,0.05902474080924347,1,0.0,250705.5,2
435,0.05417240015375957,0,0.004597701149425287,250705.5,3
