iteration,current_hpwl,best_hpwl,current_overflow,best_overflow,current_feasible,best_feasible
1,457931.0,457931.0,0.0,0.0,1,1
2,457931.0,457931.0,0.0,0.0,1,1
3,457931.0,457931.0,0.0,0.0,1,1
4,457909.5,457909.5,0.0,0.0,1,1
5,457909.5,457909.5,0.0,0.0,1,1
6,457909.5,457909.5,0.0,0.0,1,1
7,457909.5,457909.5,0.0,0.0,1,1
8,457909.5,457909.5,0.0,0.0,1,1
9,457909.5,457909.5,0.0,0.0,1,1
10,457909.5,457909.5,0.0,0.0,1,1
11,457909.5,457909.5,0.0,0.0,1,1
12,457909.5,457909.5,0.0,0.0,1,1
13,457909.5,457909.5,0.0,0.0,1,1
14,458150.0,457909.5,0.0,0.0,1,1
15,458150.0,457909.5,0.0,0.0,1,1
16,458150.0,457909.5,0.0,0.0,1,1
17,458150.0,457909.5,0.0,0.0,1,1
18,461902.0,457909.5,0.0,0.0,1,1
19,461902.0,457909.5,0.0,0.0,1,1
20,462010.0,457909.5,0.0,0.0,1,1
21,462010.0,457909.5,0.0,0.0,1,1
22,461671.5,457909.5,0.0,0.0,1,1
23,461671.5,457909.5,0.0,0.0,1,1
24,461671.5,457909.5,0.0,0.0,1,1
25,461451.0,457909.5,0.0,0.0,1,1
26,461530.0,457909.5,0.0,0.0,1,1
27,460947.0,457909.5,0.0,0.0,1,1
28,461346.5,457909.5,0.0,0.0,1,1
29,461346.5,457909.5,0.0,0.0,1,1
30,461346.5,457909.5,0.0,0.0,1,1
31,461346.5,457909.5,0.0,0.0,1,1
32,461346.5,457909.5,0.0,0.0,1,1
33,461357.5,457909.5,0.0,0.0,1,1
34,461233.5,457909.5,0.0,0.0,1,1
35,461233.5,457909.5,0.0,0.0,1,1
36,461233.5,457909.5,0.0,0.0,1,1
37,461498.0,457909.5,0.0,0.0,1,1
38,466317.5,457909.5,0.0,0.0,1,1
39,466317.5,457909.5,0.0,0.0,1,1
40,466317.5,457909.5,0.0,0.0,1,1
41,466317.5,457909.5,0.0,0.0,1,1
42,467016.0,457909.5,0.0,0.0,1,1
43,467016.0,457909.5,0.0,0.0,1,1
44,467016.0,457909.5,0.0,0.0,1,1
45,467016.0,457909.5,0.0,0.0,1,1
46,467184.0,457909.5,0.0,0.0,1,1
47,467184.0,457909.5,0.0,0.0,1,1
48,468260.0,457909.5,0.0,0.0,1,1
49,468044.0,457909.5,0.0,0.0,1,1
50,468671.0,457909.5,0.0,0.0,1,1
51,468671.0,457909.5,0.0,0.0,1,1
52,468671.0,457909.5,0.0,0.0,1,1
53,468671.0,457909.5,0.0,0.0,1,1
54,470630.0,457909.5,0.0,0.0,1,1
55,473214.0,457909.5,0.0,0.0,1,1
56,473214.0,457909.5,0.0,0.0,1,1
57,473550.5,457909.5,0.0,0.0,1,1
58,473550.5,457909.5,0.0,0.0,1,1
59,473550.5,457909.5,0.0,0.0,1,1
60,473550.5,457909.5,0.0,0.0,1,1
61,476417.0,457909.5,0.0,0.0,1,1
62,476417.0,457909.5,0.0,0.0,1,1
63,476417.0,457909.5,0.0,0.0,1,1
64,476417.0,457909.5,0.0,0.0,1,1
65,476417.0,457909.5,0.0,0.0,1,1
66,476417.0,457909.5,0.0,0.0,1,1
