block,x,y,width,height,rotated
b0,421,336,27,15,0
b1,299,138,27,16,0
b2,270,241,26,22,1
b3,483,69,45,21,1
b4,175,387,45,40,1
b5,42,138,26,16,1
b6,179,495,38,27,0
b7,410,160,35,29,0
b8,262,69,36,21,1
b9,0,266,44,25,0
b10,266,352,31,15,1
b11,181,241,41,24,0
b12,222,138,19,17,1
b13,279,460,48,33,1
b14,337,69,44,21,0
b15,393,353,34,15,0
b16,87,388,45,42,0
b17,339,187,41,37,0
b18,402,100,44,43,1
b19,291,367,36,23,0
b20,116,321,17,13,1
b21,366,159,44,28,1
b22,499,294,35,29,0
b23,428,143,40,17,0
b24,367,337,24,18,1
b25,0,154,43,29,1
b26,427,433,27,18,0
b27,497,183,40,38,1
b28,182,446,24,12,0
b29,204,290,30,29,1
b30,309,221,28,20,1
b31,153,37,36,32,1
b32,470,225,22,19,1
b33,48,91,46,45,1
b34,206,446,29,12,0
b35,457,451,26,12,1
b36,361,495,30,27,1
b37,0,498,29,12,1
b38,288,222,21,19,0
b39,133,449,13,12,1
b40,73,431,47,19,1
b41,252,221,36,19,0
b42,238,265,46,25,0
b43,444,70,39,21,0
b44,118,241,27,24,0
b45,425,245,25,24,1
b46,467,323,19,13,0
b47,357,391,42,40,0
b48,210,155,34,28,1
b49,490,245,48,24,1
b50,216,350,19,14,0
b51,0,322,16,14,1
b52,390,431,37,18,0
b53,146,449,36,12,0
b54,278,292,34,30,1
b55,30,510,31,26,1
b56,107,38,46,31,0
b57,213,91,48,47,1
b58,506,269,25,25,0
b59,0,183,47,38,0
b60,260,138,39,16,0
b61,312,293,45,31,1
b62,213,0,46,36,0
b63,0,0,46,36,1
b64,502,352,33,15,0
b65,216,321,23,13,1
b66,444,391,45,42,1
b67,297,352,33,14,1
b68,321,155,45,28,1
b69,455,497,36,27,0
b70,448,336,45,16,1
b71,343,37,34,32,0
b72,152,334,32,15,0
b73,483,451,46,12,1
b74,92,2,43,34,0
b75,433,225,37,20,1
b76,259,0,39,36,0
b77,224,427,40,18,0
b78,43,335,42,16,0
b79,87,265,40,25,0
b80,68,351,36,15,0
b81,136,349,32,15,1
b82,467,269,39,24,0
b83,456,188,41,37,1
b84,38,464,38,34,1
b85,446,463,43,34,1
b86,489,389,44,39,1
b87,0,91,48,45,1
b88,244,154,44,29,1
b89,492,225,42,20,1
b90,421,269,46,24,0
b91,40,69,43,21,0
b92,446,91,47,45,1
b93,189,105,24,20,1
b94,120,430,31,19,0
b95,88,183,44,37,0
b96,189,36,46,33,0
b97,0,352,40,15,0
b98,432,323,35,13,1
b99,468,137,40,17,0
b100,493,92,45,44,1
b101,463,293,36,30,1
b102,132,185,40,36,0
b103,415,36,34,34,0
b104,351,355,42,14,0
b105,76,464,35,33,0
b106,316,448,33,12,1
b107,104,350,32,15,0
b108,256,184,38,37,1
b109,0,390,46,42,1
b110,267,390,42,39,1
b111,58,321,21,13,1
b112,166,265,30,25,0
b113,145,241,36,24,0
b114,489,463,44,34,1
b115,172,363,34,22,0
b116,197,222,28,19,0
b117,298,69,39,21,0
b118,400,391,44,38,0
b119,123,155,45,28,1
b120,177,0,36,36,0
b121,0,464,38,34,1
b122,30,222,43,20,0
b123,44,367,36,23,1
b124,72,38,35,31,1
b125,261,94,46,42,0
b126,74,498,22,12,0
b127,44,266,43,25,1
b128,135,510,44,28,0
b129,352,369,34,22,0
b130,331,495,30,26,0
b131,141,91,48,45,0
b132,264,429,39,18,1
b133,459,352,43,15,1
b134,147,461,47,34,1
b135,322,337,45,15,0
b136,279,448,37,12,0
b137,73,220,28,21,1
b138,168,155,42,28,0
b139,380,189,37,36,1
b140,96,498,43,12,1
b141,179,427,45,19,1
b142,391,497,37,27,1
b143,350,268,25,24,1
b144,112,334,40,15,1
b145,239,322,45,13,1
b146,274,36,48,33,0
b147,84,291,42,30,1
b148,353,136,20,18,1
b149,450,367,47,22,0
b150,419,368,31,23,1
b151,0,136,42,18,1
b152,241,138,19,16,1
b153,43,291,41,30,0
b154,101,136,22,17,0
b155,191,349,25,14,0
b156,373,138,28,16,0
b157,337,224,25,20,1
b158,168,349,23,13,0
b159,449,37,44,32,0
b160,401,143,27,16,0
b161,307,90,47,46,1
b162,0,432,31,18,0
b163,386,369,33,22,0
b164,452,0,41,36,1
b165,142,137,21,17,0
b166,111,464,36,34,1
b167,493,0,37,36,1
b168,0,242,41,24,1
b169,127,266,39,24,1
b170,159,290,45,29,1
b171,0,69,40,22,1
b172,166,319,27,13,0
b173,284,267,32,25,1
b174,0,336,43,16,0
b175,229,335,16,15,1
b176,0,36,38,33,1
b177,172,184,41,37,0
b178,123,136,19,17,1
b179,46,2,46,34,0
b180,491,428,40,19,1
b181,0,510,30,28,0
b182,380,244,45,24,0
b183,235,36,39,33,1
b184,375,268,46,25,0
b185,428,497,27,34,0
b186,126,290,33,31,1
b187,414,0,38,36,1
b188,374,0,40,37,1
b189,235,447,44,12,0
b190,217,493,37,27,0
b191,245,335,34,16,1
b192,481,154,48,29,1
b193,68,137,33,17,0
b194,510,323,28,13,0
